GameTypeID	GameEngine	SteamLogin	AppIDInstall	AppIDCheck	SteamCMDMod	SteamCMDOpt	ModSubFolder	WarnStopText	WarnStopAudio	WarnUpdateText	WarnUpdateAudio	Description	Comment
pvk2	source	anonymous	17575	17570			pvkii	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		Pirates, Vikings, & Knights II (PVK2)	Untested.
ship	source	anonymous	2403	2400			ship	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		The Ship (Ship)	Untested.
zps	source	anonymous	17505	17500			zps	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		Zombie Panic:Source (ZPS)	Untested.
ahl2	source	username password	985050	977050			ahl2	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		Action Half-Life:Source (AH2S)	Untested, also requires Steam login.
inf	source	username password	661350	656800			infestus	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		Infestus (Inf)	Untested, also requires Steam login.
ios	source	username password	673990	673560			iosoccer	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		IOSoccer (IOS)	Untested, also requires Steam login.
co	source	username password	600380	601660			csgo	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		Classic Offense (CO)	Unavailable. Not relesed yet.
oc	source	username password	248890	17750			{unknown}	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		Obsidian Conflict (OC)	Unavailable. Not relesed yet.
bgt	source	anonymous	2460	2450			{unknown}	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		Bloody Good Time (BGT)	Unusable. Does not have Linux-native server.
cont	source	anonymous	293030	238430			contagion	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		Contagion (Cont)	Unusable. Does not have Linux-native server.
es	source	anonymous	91720	91700			esmod	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		Eternal Silence (ES)	Unusable. Does not have Linux-native server.
eye	source	anonymous	91720	91700			EYE	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		E.Y.E: Divine Cybermancy (EYE)	Unusable. Does not have Linux-native server.
ff	source	anonymous	329710	253530			FortressForever	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		Fortress Forever (FF)	Unusable. Does not have Linux-native server.
kc	source	anonymous	638100	626681			kz	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		Kreedz Climbing (KC)	Unusable. Does not have Linux-native server.
kvt	source	anonymous	1875500	1786950			treason	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		Klaus Veen's Treason (KVT)	Unusable. Does not have Linux-native server.
lw	source	anonymous	319060	270370			lambdawars	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		Lambda Wars (LW)	Unusable. Does not have Linux-native server.
mc	source	anonymous	366360	349480			modularcombat	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		Modular Combat (MC)	Unusable. Does not have Linux-native server.
neo	source	anonymous	313600	244630			NeotokyoSource	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		NeoTokyo (NEO)	Unusable. Does not have Linux-native server.
syn	source	anonymous	17525	17520			synergy	say ALERT: Server shutting-down or restarting NOW!		say ALERT: Server restaring shortly for an update!		Synergy (SYN)	Unusable. Does not have Linux-native server.
